hour,day_of_week,month,is_weekend,is_rush_hour,is_night,is_monsoon,weather_main,road_type,is_junction,is_urban,is_highway,Year,Number of Vehicles Involved,Number of Casualties,Number of Fatalities,Speed Limit (km/h),Driver Age,year,target_binary
5.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2021,4,1,5,77,52,2025.0,1
14.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2019,3,1,1,117,61,2025.0,1
6.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2021,3,7,2,51,49,2025.0,0
2.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2020,2,4,2,117,59,2025.0,0
12.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2019,3,7,1,95,28,2025.0,0
6.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2021,1,0,2,103,67,2025.0,0
14.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2022,2,6,3,65,37,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2022,5,7,5,98,50,2025.0,1
19.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2022,3,1,0,61,48,2025.0,1
21.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,2,9,0,61,62,2025.0,0
0.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2021,5,5,0,65,42,2025.0,1
19.0,5.0,10.0,1,1,0,0,Storm,urban,0,1,0,2021,5,9,4,85,21,2025.0,0
18.0,5.0,10.0,1,1,0,0,Rain,urban,0,1,0,2019,5,2,4,70,53,2025.0,1
21.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2023,5,7,3,93,25,2025.0,1
15.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2020,1,8,4,94,61,2025.0,0
5.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2021,1,0,3,88,67,2025.0,1
6.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2019,5,6,3,72,70,2025.0,1
19.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2022,1,5,1,72,18,2025.0,0
8.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2021,3,1,0,81,65,2025.0,0
2.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2019,1,10,1,89,51,2025.0,0
16.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2020,2,10,3,100,37,2025.0,1
12.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2018,3,3,1,98,49,2025.0,0
15.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2023,2,10,3,96,47,2025.0,1
13.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2018,5,0,4,120,47,2025.0,0
2.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2020,4,2,2,60,38,2025.0,1
10.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,3,1,5,51,26,2025.0,0
5.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2022,5,10,4,68,53,2025.0,1
21.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,5,3,4,67,48,2025.0,1
3.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2019,4,6,4,67,68,2025.0,1
1.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2022,4,4,2,100,26,2025.0,0
21.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,3,4,4,39,39,2025.0,0
11.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2019,3,2,0,118,64,2025.0,0
21.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2018,3,5,3,95,21,2025.0,0
4.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2022,4,9,5,45,66,2025.0,1
22.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2020,5,1,3,35,49,2025.0,1
10.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2022,2,0,5,66,68,2025.0,0
21.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,5,6,3,78,44,2025.0,0
13.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2020,5,8,2,115,56,2025.0,1
9.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2021,4,4,4,36,69,2025.0,1
17.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2019,4,8,2,51,49,2025.0,1
23.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2018,5,10,2,85,39,2025.0,0
8.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2022,3,0,0,99,20,2025.0,0
17.0,5.0,10.0,1,1,0,0,Fog,rural,0,1,0,2019,1,7,2,54,44,2025.0,0
8.0,5.0,10.0,1,1,0,0,Storm,rural,0,1,0,2023,5,8,5,105,20,2025.0,0
14.0,5.0,10.0,1,0,0,0,Storm,rural,0,1,0,2021,5,4,0,35,29,2025.0,0
20.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2019,2,3,2,50,54,2025.0,1
1.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2019,1,1,3,64,25,2025.0,1
13.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2023,1,8,3,34,59,2025.0,1
12.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2023,4,9,4,57,43,2025.0,1
20.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2020,1,7,2,58,53,2025.0,1
2.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2023,2,0,1,110,66,2025.0,1
16.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2022,3,1,3,105,50,2025.0,0
23.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2020,4,7,0,45,38,2025.0,1
17.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2020,4,1,5,98,62,2025.0,1
6.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2018,2,4,4,79,25,2025.0,0
9.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2022,4,5,1,46,38,2025.0,0
3.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2018,5,4,0,83,29,2025.0,0
21.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2022,1,1,2,94,40,2025.0,1
17.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2023,2,8,3,30,40,2025.0,1
6.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2018,1,5,0,67,25,2025.0,1
16.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2019,3,2,1,59,64,2025.0,0
10.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2021,2,9,3,84,67,2025.0,1
17.0,5.0,10.0,1,1,0,0,Clear,urban,0,1,0,2022,4,7,2,64,67,2025.0,1
2.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2019,5,6,5,64,29,2025.0,1
11.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2023,3,0,4,32,25,2025.0,1
19.0,5.0,10.0,1,1,0,0,Clear,rural,0,1,0,2018,3,5,3,95,24,2025.0,0
1.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2023,2,1,0,68,45,2025.0,0
0.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2018,3,8,0,31,34,2025.0,0
4.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2019,2,5,4,43,39,2025.0,0
22.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2021,4,2,4,99,50,2025.0,0
12.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,1,8,0,61,29,2025.0,1
9.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2023,2,0,0,96,63,2025.0,1
14.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2021,4,9,5,100,51,2025.0,0
10.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2021,5,5,4,78,56,2025.0,0
2.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2022,5,5,1,84,61,2025.0,1
22.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2019,2,3,2,72,28,2025.0,0
4.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2022,1,8,0,57,54,2025.0,1
19.0,5.0,10.0,1,1,0,0,Storm,urban,0,1,0,2021,5,2,4,69,55,2025.0,1
8.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2023,5,2,4,43,33,2025.0,0
15.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2019,2,8,3,39,68,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2019,5,10,1,48,25,2025.0,1
19.0,5.0,10.0,1,1,0,0,Storm,rural,0,1,0,2020,2,9,1,114,22,2025.0,1
3.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2023,4,9,1,93,62,2025.0,1
20.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2019,3,2,4,96,53,2025.0,1
13.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2021,3,0,2,49,30,2025.0,1
21.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2020,1,2,0,94,41,2025.0,1
12.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2018,5,1,0,38,49,2025.0,0
0.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2019,4,5,1,90,34,2025.0,1
11.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2021,2,8,0,69,38,2025.0,0
0.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2023,2,2,2,71,38,2025.0,0
5.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2021,3,0,3,84,48,2025.0,0
21.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2018,2,1,2,41,38,2025.0,0
6.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2020,5,8,1,82,61,2025.0,1
10.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2021,4,2,5,31,25,2025.0,0
2.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2020,1,10,4,114,42,2025.0,1
15.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2021,3,7,5,95,24,2025.0,1
7.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2023,1,10,0,47,24,2025.0,1
19.0,5.0,10.0,1,1,0,0,Fog,rural,0,1,0,2021,5,6,1,104,38,2025.0,0
7.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2020,5,5,1,36,30,2025.0,1
1.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2021,1,5,2,101,68,2025.0,0
18.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2019,2,7,5,42,39,2025.0,1
13.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2023,5,0,4,61,53,2025.0,1
8.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2018,3,10,4,42,54,2025.0,1
21.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2023,3,4,5,44,24,2025.0,1
2.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2022,2,8,1,69,52,2025.0,1
10.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,5,10,0,120,22,2025.0,0
2.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2023,5,7,4,57,55,2025.0,1
2.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2023,5,5,4,58,20,2025.0,1
22.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2019,1,8,3,67,61,2025.0,1
8.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2019,1,3,2,51,28,2025.0,0
18.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2021,1,10,5,115,26,2025.0,1
17.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2019,1,3,5,34,51,2025.0,0
14.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2019,2,0,4,109,48,2025.0,1
7.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2019,2,6,2,91,20,2025.0,0
5.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2022,1,9,1,82,67,2025.0,1
20.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2021,3,9,3,40,40,2025.0,0
20.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2022,3,9,3,69,61,2025.0,0
21.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2023,2,3,5,75,26,2025.0,0
22.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2019,5,2,5,80,32,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2020,3,2,3,85,68,2025.0,1
0.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2018,3,2,4,76,65,2025.0,1
18.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2022,4,8,4,46,50,2025.0,1
17.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2020,5,0,2,38,26,2025.0,0
18.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2018,4,4,5,46,62,2025.0,1
15.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2019,3,5,0,47,55,2025.0,1
2.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2018,3,9,0,38,59,2025.0,1
9.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2021,3,9,4,31,58,2025.0,1
4.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2022,2,7,4,86,43,2025.0,1
23.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2021,2,4,4,120,30,2025.0,1
8.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2021,3,10,3,65,43,2025.0,1
21.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2021,3,10,1,100,70,2025.0,1
9.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2021,2,0,5,114,30,2025.0,1
4.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2018,4,3,5,45,33,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2022,1,0,0,95,51,2025.0,1
16.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2020,5,7,5,111,63,2025.0,1
7.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2018,2,0,2,64,60,2025.0,1
12.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2022,2,4,4,82,27,2025.0,1
7.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2022,5,9,2,84,39,2025.0,0
16.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,5,5,0,88,26,2025.0,1
20.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2021,1,5,0,61,35,2025.0,1
21.0,5.0,10.0,1,0,0,0,Rain,urban,0,1,0,2019,1,10,1,72,49,2025.0,1
14.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2020,1,4,0,119,44,2025.0,1
3.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2018,1,8,2,67,60,2025.0,0
19.0,5.0,10.0,1,1,0,0,Rain,urban,0,1,0,2022,1,8,5,94,25,2025.0,1
4.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2023,2,2,3,106,36,2025.0,1
13.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2020,1,2,4,46,51,2025.0,0
10.0,5.0,10.0,1,0,0,0,Storm,urban,0,1,0,2018,1,7,3,105,67,2025.0,1
23.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2023,1,10,3,101,20,2025.0,0
10.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2018,3,2,1,33,24,2025.0,1
2.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2023,4,8,0,78,42,2025.0,1
5.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2023,5,1,4,64,35,2025.0,1
21.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2021,2,4,4,75,56,2025.0,1
9.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2019,4,7,4,108,31,2025.0,1
9.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2018,5,9,2,81,54,2025.0,1
15.0,5.0,10.0,1,0,0,0,Clear,urban,0,1,0,2023,1,5,1,54,32,2025.0,1
1.0,5.0,10.0,1,0,1,0,Rain,rural,0,1,0,2020,2,10,5,101,50,2025.0,1
1.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2018,1,8,1,97,45,2025.0,1
0.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2021,2,7,3,49,34,2025.0,0
9.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2023,1,7,3,65,64,2025.0,1
7.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2023,1,1,1,75,38,2025.0,1
18.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2021,2,7,0,72,20,2025.0,1
13.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2022,1,10,1,83,28,2025.0,1
21.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2019,1,5,5,97,55,2025.0,1
3.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2022,1,4,3,70,25,2025.0,0
5.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2019,4,4,3,117,36,2025.0,1
0.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2018,1,5,2,78,30,2025.0,0
23.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2020,1,10,0,34,45,2025.0,0
7.0,5.0,10.0,1,1,0,0,Clear,rural,0,1,0,2019,3,10,0,37,44,2025.0,0
21.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2018,1,9,1,50,64,2025.0,1
23.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2018,4,0,4,101,28,2025.0,0
12.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2023,5,0,5,79,43,2025.0,1
17.0,5.0,10.0,1,1,0,0,Storm,rural,0,1,0,2018,3,3,3,63,68,2025.0,1
15.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2019,1,3,1,73,53,2025.0,1
9.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2018,3,8,0,51,34,2025.0,1
22.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2019,3,6,5,42,69,2025.0,1
22.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2018,4,7,1,73,64,2025.0,1
11.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2021,4,7,1,87,33,2025.0,1
19.0,5.0,10.0,1,1,0,0,Storm,urban,0,1,0,2019,4,2,1,105,60,2025.0,0
21.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2019,1,9,0,70,56,2025.0,0
19.0,5.0,10.0,1,1,0,0,Fog,rural,0,1,0,2022,1,9,0,78,40,2025.0,1
